# place_ru	place_en	basename	slot	status
Дворец Юсуповых	-	yusupov_1.jpg	1	exists
Дворец Юсуповых	-	yusupov_2.jpg	2	exists
Дворец Юсуповых	-	yusupov_3.jpg	3	missing
Дворец Юсуповых	-	yusupov_4.jpg	4	missing
Строгановский дворец	-	stroganov_1.jpg	1	exists
Строгановский дворец	-	stroganov_2.jpg	2	exists
Строгановский дворец	-	stroganov_3.jpg	3	missing
Строгановский дворец	-	stroganov_4.jpg	4	missing
Дворец Белосельских-Белозерских	-	beloselsky_1.jpg	1	exists
Дворец Белосельских-Белозерских	-	beloselsky_2.jpg	2	exists
Дворец Белосельских-Белозерских	-	beloselsky_3.jpg	3	missing
Дворец Белосельских-Белозерских	-	beloselsky_4.jpg	4	missing
Дворец Шереметевых (Фонтанный дом)	-	sheremetev_1.jpg	1	exists
Дворец Шереметевых (Фонтанный дом)	-	sheremetev_2.jpg	2	exists
Дворец Шереметевых (Фонтанный дом)	-	sheremetev_3.jpg	3	missing
Дворец Шереметевых (Фонтанный дом)	-	sheremetev_4.jpg	4	missing
Аничков дворец	-	anichkov_1.jpg	1	exists
Аничков дворец	-	anichkov_2.jpg	2	exists
Аничков дворец	-	anichkov_3.jpg	3	missing
Аничков дворец	-	anichkov_4.jpg	4	missing
Мариинский дворец	-	mariinsky_1.jpg	1	exists
Мариинский дворец	-	mariinsky_2.jpg	2	exists
Мариинский дворец	-	mariinsky_3.jpg	3	missing
Мариинский дворец	-	mariinsky_4.jpg	4	missing
Особняк Кочубея	-	kochubey_1.jpg	1	missing
Особняк Кочубея	-	kochubey_2.jpg	2	missing
Особняк Кочубея	-	kochubey_3.jpg	3	missing
Особняк Кочубея	-	kochubey_4.jpg	4	missing
Особняк Половцова	-	polovtsov_1.jpg	1	exists
Особняк Половцова	-	polovtsov_2.jpg	2	exists
Особняк Половцова	-	polovtsov_3.jpg	3	missing
Особняк Половцова	-	polovtsov_4.jpg	4	missing
Особняк Матильды Кшесинской	-	kshesinskaya_1.jpg	1	exists
Особняк Матильды Кшесинской	-	kshesinskaya_2.jpg	2	exists
Особняк Матильды Кшесинской	-	kshesinskaya_3.jpg	3	missing
Особняк Матильды Кшесинской	-	kshesinskaya_4.jpg	4	missing
Особняк П. П. фон Дервиза	-	derviz_1.jpg	1	exists
Особняк П. П. фон Дервиза	-	derviz_2.jpg	2	exists
Особняк П. П. фон Дервиза	-	derviz_3.jpg	3	missing
Особняк П. П. фон Дервиза	-	derviz_4.jpg	4	missing
Особняк Зубова	-	zubov_1.jpg	1	exists
Особняк Зубова	-	zubov_2.jpg	2	exists
Особняк Зубова	-	zubov_3.jpg	3	missing
Особняк Зубова	-	zubov_4.jpg	4	missing
Дом компании «Зингер» (Дом книги)	-	singer_1.jpg	1	exists
Дом компании «Зингер» (Дом книги)	-	singer_2.jpg	2	exists
Дом компании «Зингер» (Дом книги)	-	singer_3.jpg	3	missing
Дом компании «Зингер» (Дом книги)	-	singer_4.jpg	4	missing
Дом Гинзбургаа	-	ginzburg_1.jpg	1	exists
Дом Гинзбургаа	-	ginzburg_2.jpg	2	exists
Дом Гинзбургаа	-	ginzburg_3.jpg	3	missing
Дом Гинзбургаа	-	ginzburg_4.jpg	4	missing
Особняк Румянцеваa	-	rumyantsev_1.jpg	1	exists
Особняк Румянцеваa	-	rumyantsev_2.jpg	2	exists
Особняк Румянцеваa	-	rumyantsev_3.jpg	3	missing
Особняк Румянцеваa	-	rumyantsev_4.jpg	4	missing
Воронцовский дворец	-	vorontsov_1.jpg	1	exists
Воронцовский дворец	-	vorontsov_2.jpg	2	exists
Воронцовский дворец	-	vorontsov_3.jpg	3	missing
Воронцовский дворец	-	vorontsov_4.jpg	4	missing
Таврический дворец	-	tauride_1.jpg	1	exists
Таврический дворец	-	tauride_2.jpg	2	exists
Таврический дворец	-	tauride_3.jpg	3	missing
Таврический дворец	-	tauride_4.jpg	4	missing
Елагин дворец	-	elagin_1.jpg	1	exists
Елагин дворец	-	elagin_2.jpg	2	exists
Елагин дворец	-	elagin_3.jpg	3	missing
Елагин дворец	-	elagin_4.jpg	4	missing
Чесменский Palace	-	chesme_1.jpg	1	exists
Чесменский Palace	-	chesme_2.jpg	2	exists
Чесменский Palace	-	chesme_3.jpg	3	missing
Чесменский Palace	-	chesme_4.jpg	4	missing
Особняк Шуваловаa	-	shuvalov_1.jpg	1	exists
Особняк Шуваловаa	-	shuvalov_2.jpg	2	exists
Особняк Шуваловаa	-	shuvalov_3.jpg	3	missing
Особняк Шуваловаa	-	shuvalov_4.jpg	4	missing
Особняк принца Олденбурга	-	oldenburg_1.jpg	1	exists
Особняк принца Олденбурга	-	oldenburg_2.jpg	2	exists
Особняк принца Олденбурга	-	oldenburg_3.jpg	3	missing
Особняк принца Олденбурга	-	oldenburg_4.jpg	4	missing
Особняк Бржозовского	-	brzhozovsky_1.jpg	1	exists
Особняк Бржозовского	-	brzhozovsky_2.jpg	2	exists
Особняк Бржозовского	-	brzhozovsky_3.jpg	3	missing
Особняк Бржозовского	-	brzhozovsky_4.jpg	4	missing
Дом Лидваля	-	lidval_1.jpg	1	exists
Дом Лидваля	-	lidval_2.jpg	2	exists
Дом Лидваля	-	lidval_3.jpg	3	missing
Дом Лидваля	-	lidval_4.jpg	4	missing
Дом Рубинштейна	-	rubinstein_1.jpg	1	exists
Дом Рубинштейна	-	rubinstein_2.jpg	2	exists
Дом Рубинштейна	-	rubinstein_3.jpg	3	missing
Дом Рубинштейна	-	rubinstein_4.jpg	4	missing
Дом кн. Паниной	-	panina_1.jpg	1	exists
Дом кн. Паниной	-	panina_2.jpg	2	exists
Дом кн. Паниной	-	panina_3.jpg	3	missing
Дом кн. Паниной	-	panina_4.jpg	4	missing
